datetime,xa_raw,ya_raw,za_raw,xa_cal,ya_cal,za_cal,xm_raw,ym_raw,zm_raw,xm_cal,ym_cal,zm_cal
12/30/2014 14:30,2048,1795,16386,1621,343,16385,1100,-385,-679,1100,-385,-679
12/30/2014 14:45,2048,1537,16387,1707,599,16386,1106,-416,-652,1106,-416,-652
12/30/2014 15:00,1795,-509,16386,513,-511,16385,1108,-364,-696,1108,-364,-696
12/30/2014 15:15,3075,769,16386,1879,342,16385,1113,-390,-671,1113,-390,-671
12/30/2014 15:30,2305,1026,16387,2220,599,16386,1092,-304,-737,1092,-304,-737
12/30/2014 15:45,2307,2050,16385,1964,854,16299,1104,-362,-698,1104,-362,-698
12/30/2014 16:00,2561,1538,16386,1963,1025,16385,1111,-320,-723,1111,-320,-723
12/30/2014 16:15,2051,1280,16387,1453,768,16386,1123,-321,-718,1123,-321,-718
12/30/2014 16:30,2307,2306,16387,1707,1281,16385,1105,-364,-692,1105,-364,-692
12/30/2014 16:45,2051,259,16387,1281,-167,16386,1119,-344,-706,1119,-344,-706
12/30/2014 17:00,2563,2561,16387,2049,1110,16300,1107,-386,-676,1107,-386,-676
12/30/2014 17:15,2049,1027,16387,1024,1,16385,1108,-323,-722,1108,-323,-722
12/30/2014 17:30,1794,770,16387,1452,258,16386,1105,-365,-692,1105,-365,-692
12/30/2014 17:45,2049,259,16387,1621,-82,16387,1102,-380,-678,1102,-380,-678
12/30/2014 18:00,2049,1283,16385,1964,856,16384,1087,-377,-683,1087,-377,-683
12/30/2014 18:15,2560,2050,16386,2219,1111,16385,1101,-361,-693,1101,-361,-693
12/30/2014 18:30,2048,1536,16387,1451,428,16386,1120,-334,-714,1120,-334,-714
12/30/2014 18:45,2050,769,16387,1623,343,16385,1137,-311,-719,1137,-311,-719
12/30/2014 19:00,2306,1025,16386,2049,854,16386,1111,-359,-693,1111,-359,-693
12/30/2014 19:15,2050,3,16387,1708,-169,16386,1111,-400,-662,1111,-400,-662
12/30/2014 19:30,2304,1026,16387,2048,599,16386,1110,-347,-703,1110,-347,-703
12/30/2014 19:45,1538,259,16386,1111,2,16386,1131,-339,-703,1131,-339,-703
12/30/2014 20:00,1792,771,16387,1452,-83,16386,1104,-364,-691,1104,-364,-691
12/30/2014 20:15,2563,1283,16386,2306,514,16384,1118,-396,-663,1118,-396,-663
12/30/2014 20:30,1795,1280,16386,1708,171,16386,1125,-311,-724,1125,-311,-724
12/30/2014 20:45,1794,259,16387,1537,-169,16387,1111,-390,-669,1111,-390,-669
12/30/2014 21:00,1026,513,16387,940,-255,16386,1120,-323,-718,1120,-323,-718
