xa,ya,za,xm,ym,zm
252.5359355,-241.8673503,969.1689548,-8112.448039,-24042.75701,-33317.51579
-106.8079545,-196.5701753,1013.974513,27795.04253,12840.88006,-25068.44019
-111.7574115,-116.2679043,1023.956321,27360.5935,11308.16534,-26335.12138
-143.8873325,-116.2393893,1021.988681,27711.97153,12679.02987,-25069.03646
-155.5653405,-121.9642143,1020.998012,27880.19857,12841.1761,-24706.33757
-195.4426355,-162.0796693,1011.070614,28730.76573,14779.80792,-22984.54641
-186.7020445,-139.1471833,1012.077147,28793.16724,13169.96764,-23433.42538
-188.6571165,-131.4979183,1013.075674,29192.73426,12448.86652,-23609.23173
-197.3863265,-164.9469443,1009.086727,28646.37281,14376.17807,-22894.52041
-237.2500105,-215.5829743,991.2210198,28941.42598,17436.77751,-20637.6901
-187.6597175,-156.3503853,1013.054246,28637.49968,13893.39088,-23345.56802
-266.4298585,-240.4184363,977.3369118,30092.11653,16800.88279,-19180.56528
-174.0380185,-147.7582853,1016.028802,28381.32012,13328.05602,-23979.55071
-211.9566315,-197.4378913,1001.136547,29234.12494,15024.46694,-21805.82748
-209.0707255,-163.9809663,1008.101707,29291.77171,13576.51171,-22887.19514
-202.2227395,-195.5337493,1003.116059,28261.14507,15982.62804,-22087.50292
-156.5025235,-158.2880313,1017.003076,27968.45634,13083.03121,-24254.20233
-209.0643765,-168.7633393,1004.132956,29141.72294,14621.82985,-22528.74853
-203.2355965,-157.2948343,1009.095859,29288.97525,13173.61913,-22796.37633
-174.9551785,-202.2476953,1006.071459,28326.46982,15178.90383,-22989.00186
-187.6661085,-149.6595823,1013.059895,28474.89142,14053.13955,-23437.67765
-219.8220185,-123.8212633,1014.087581,29447.87129,13094.97845,-23156.00221
-205.1952125,-145.8206393,1012.079972,29047.567,13735.52311,-22980.09759
-193.4789215,-177.3779873,1007.092094,29049.77882,13977.19247,-22980.39241
-224.6584315,-154.4080683,1008.116913,29704.78812,13740.86976,-22522.1178
-155.5416655,-143.9531233,1015.032377,28365.93831,12523.48423,-24791.51502
-247.0705115,-132.4086513,1001.207479,30759.08506,12460.88919,-21968.2741
-178.9387245,-114.2988983,1017.050456,28934.7749,11883.75228,-24423.86932
-191.5712625,-138.1867893,1012.080184,29363.45252,13175.23885,-23518.2031
-183.8129745,-107.6043373,1016.067156,29176.30993,11725.0718,-24601.94922
-173.1159315,-94.23196732,1017.064727,28922.21541,10998.18281,-24874.42556
-160.4418835,-112.4029733,1019.025954,28684.51938,11478.9788,-24606.41131
-108.8359615,-117.2256653,1024.945355,27042.19091,11788.11375,-25977.5725
-138.0544965,-106.6865773,1021.994075,27935.78615,11070.88474,-25696.98469
-158.4945405,-113.3590143,1021.006613,28357.37044,11879.36351,-25061.71119
-142.9373885,-92.34296332,1023.990768,28342.59913,10752.12468,-25511.97261
-199.3272575,-171.6359213,1009.08197,29054.5077,14299.19768,-22800.1306
