Xcal,Ycal,Zcal
252.5359355,-241.8673503,969.1689548
-106.8079545,-196.5701753,1013.974513
-111.7574115,-116.2679043,1023.956321
-143.8873325,-116.2393893,1021.988681
-155.5653405,-121.9642143,1020.998012
-195.4426355,-162.0796693,1011.070614
-186.7020445,-139.1471833,1012.077147
-188.6571165,-131.4979183,1013.075674
-197.3863265,-164.9469443,1009.086727
-237.2500105,-215.5829743,991.2210198
-187.6597175,-156.3503853,1013.054246
-266.4298585,-240.4184363,977.3369118
-174.0380185,-147.7582853,1016.028802
-211.9566315,-197.4378913,1001.136547
-209.0707255,-163.9809663,1008.101707
-202.2227395,-195.5337493,1003.116059
-156.5025235,-158.2880313,1017.003076
-209.0643765,-168.7633393,1004.132956
-203.2355965,-157.2948343,1009.095859
-174.9551785,-202.2476953,1006.071459
-187.6661085,-149.6595823,1013.059895
-219.8220185,-123.8212633,1014.087581
-205.1952125,-145.8206393,1012.079972
-193.4789215,-177.3779873,1007.092094
-224.6584315,-154.4080683,1008.116913
-155.5416655,-143.9531233,1015.032377
-247.0705115,-132.4086513,1001.207479
-178.9387245,-114.2988983,1017.050456
-191.5712625,-138.1867893,1012.080184
-183.8129745,-107.6043373,1016.067156
-173.1159315,-94.23196732,1017.064727
-160.4418835,-112.4029733,1019.025954
-108.8359615,-117.2256653,1024.945355
-138.0544965,-106.6865773,1021.994075
-158.4945405,-113.3590143,1021.006613
-142.9373885,-92.34296332,1023.990768
-199.3272575,-171.6359213,1009.08197
-87.43913645,-93.34841232,1026.938076
-201.3078725,-138.1776593,1012.084644
-202.2815335,-138.1767463,1012.08509
-146.7818805,-142.0472613,1018.003514
-121.5122815,-97.14219432,1023.976921
-153.5828995,-157.3341343,1017.993724
-159.4485615,-134.3855323,1021.980484
-128.3206045,-104.7824353,1023.973587
-147.7751395,-122.9273473,1020.993637
-171.1594795,-103.7920833,1017.055765
-198.4001385,-123.8437703,1011.104232
-134.1571135,-109.5577163,1021.98987
-180.8450245,-154.4467323,1011.07038
-158.4954535,-112.4031853,1021.00742
-163.3975605,-76.07873232,1019.057958
-195.5101765,-92.30253832,1013.111883
-166.2355025,-161.1480023,1015.022757
-178.9405925,-110.4788103,1013.088968
-156.5230765,-136.3047713,1016.030458
-215.9196665,-129.5639243,1009.12506
-190.5570255,-178.3365553,1007.089949
-183.7874315,-133.4133343,1014.063009
-192.5357935,-147.7441663,1012.07256
-204.1742015,-189.7993703,1000.148256
-182.7713475,-176.4289733,1011.052711
-221.7064695,-184.0463483,1002.143484
-217.8304895,-166.8410433,1007.112121
-174.0430715,-141.0699033,1013.060914
-211.0358405,-145.8175823,1009.109111
-190.5843525,-152.5243303,1013.058812
-142.9091065,-121.0194473,1021.9842
-139.0286245,-105.7306423,1021.004149
-156.5225675,-139.1682233,1020.983932
-173.1063345,-104.7452793,1018.047029
-123.4824285,-73.24464332,1023.997988
-189.6408205,-120.9828863,1013.084997
-178.9204645,-133.4154783,1017.034316
-140.0219465,-83.74808332,1018.049619
-164.3620915,-85.63610932,1019.050334
-143.9224725,-79.91708032,1023.010526
-121.5346605,-73.24727632,1023.005917
-103.0405375,-69.43807932,1026.965387
-115.6885545,-78.98530732,1025.971936
-132.2025295,-115.2977443,1018.01942
-154.6086015,-102.8509683,1018.040169
-132.2294315,-88.53211132,1021.015553
-111.7939105,-78.98895932,1025.970152
-105.9428355,-87.59851232,1023.977855
-112.7730495,-73.25307232,1025.97544
-96.21945345,-74.22522932,1024.975872
-112.7917345,-55.08990032,1028.96431
-132.2389865,-79.92722932,1023.996353
-126.3969995,-80.88692232,1025.975228
-102.0869625,-48.41075432,1026.982695
-129.3303185,-67.50338432,1024.996685
-127.3424415,-106.6998483,1018.024453
-142.9342245,-94.25704232,1021.015617
-151.6844125,-106.6762163,1019.026782
-99.16597945,-48.41349332,1026.981357
-137.0986285,-88.52593232,1023.000141
-137.1027265,-84.70180932,1023.994548
-164.3369945,-111.4442993,1018.037366
-158.4972795,-110.4915273,1021.009034
-117.6171705,-98.10086832,1024.965509
-155.5877195,-98.06929632,1020.027008
-156.5499785,-109.5391383,1019.026591
-202.2482825,-169.7247523,1005.120206
-167.2315215,-138.2063863,1016.03375
-154.6186235,-93.29106432,1020.030597
-213.0091515,-120.0059523,1012.105329
-131.2215015,-125.8079343,1023.957171
-161.3817845,-146.8135183,1017.01499
-199.3728655,-125.7529013,1013.085422
-204.2790705,-85.60432532,1012.130367
-187.6665545,-149.6587753,1014.051074
-202.2615105,-156.3423393,1006.122683
-199.3573655,-141.0477793,1011.090152
-153.5934095,-145.8649933,1017.012229
-170.1693635,-121.9521333,1019.022344
-227.6141295,-117.1296123,1006.167366
-204.2452895,-120.9699983,1012.100508
-166.2738275,-121.9573993,1017.038202
-176.9786415,-126.7281153,1015.056715
-212.0117945,-142.9499893,1008.120799
-158.4717575,-135.3463093,1017.023336
-158.4927145,-115.2706723,1021.004999
-170.1666245,-124.8196203,1019.019923
-201.2951325,-149.6508353,1008.110244
-171.1781855,-84.67469632,1018.063084
-170.1561355,-135.3345463,1018.019867
