datetime,xa_raw,ya_raw,za_raw,xm_raw,ym_raw,zm_raw
5/31/2017 5:55,-45,-14,959,-103,22,-419
5/31/2017 6:00,22,-10,1096,-82,57,-397
5/31/2017 6:05,58,-48,999,-129,43,-395
5/31/2017 6:10,46,-66,1039,-131,39,-402
5/31/2017 6:15,60,52,1042,-134,30,-407
5/31/2017 6:20,195,-37,1015,-206,32,-391
5/31/2017 6:25,299,34,996,-252,-16,-396
5/31/2017 6:30,298,139,988,-248,-67,-408
5/31/2017 6:35,307,206,982,-248,-97,-410
5/31/2017 6:40,277,259,970,-241,-122,-417
5/31/2017 6:45,256,310,956,-230,-142,-422
5/31/2017 6:50,237,335,963,-207,-156,-431
5/31/2017 6:55,201,354,963,-186,-164,-436
5/31/2017 7:00,149,361,969,-150,-163,-442
5/31/2017 7:05,90,357,986,-106,-159,-447
5/31/2017 7:10,34,357,988,-60,-164,-448
5/31/2017 7:15,-22,350,991,-26,-159,-445
5/31/2017 7:20,-73,335,982,8,-157,-442
5/31/2017 7:25,-131,318,993,21,-135,-438
5/31/2017 7:30,-168,267,998,37,-110,-434
5/31/2017 7:35,-225,236,988,68,-86,-424
5/31/2017 7:40,-262,175,993,89,-62,-413
5/31/2017 7:45,-289,117,990,96,-29,-400
5/31/2017 7:50,-321,47,993,99,6,-389
5/31/2017 7:55,-327,12,986,87,35,-381
5/31/2017 8:00,-285,-57,1001,70,47,-379
5/31/2017 8:05,-265,-199,962,60,114,-349
5/31/2017 8:10,-240,-236,975,57,116,-346
5/31/2017 8:15,-202,-262,971,45,137,-338
5/31/2017 8:20,-114,-283,990,-10,142,-346
5/31/2017 8:25,-39,-281,982,-55,142,-351
5/31/2017 8:30,47,-286,990,-98,144,-356
5/31/2017 8:35,111,-277,979,-133,140,-354
5/31/2017 8:40,162,-257,990,-152,128,-360
5/31/2017 8:45,193,-229,1000,-173,115,-367
5/31/2017 8:50,199,-200,1001,-187,92,-373
5/31/2017 8:55,219,-163,1006,-206,74,-377
5/31/2017 9:00,220,-90,996,-215,48,-386
5/31/2017 9:05,231,-64,1000,-230,25,-389
5/31/2017 9:10,250,-22,1002,-247,1,-388
5/31/2017 9:15,265,22,1004,-262,-21,-386
5/31/2017 9:20,306,54,1000,-281,-43,-383
5/31/2017 9:25,325,76,979,-290,-51,-378
5/31/2017 9:30,294,58,986,-276,-41,-381
5/31/2017 9:35,168,-8,1034,-201,-5,-404
5/31/2017 9:40,47,-20,1043,-143,16,-418
5/31/2017 9:45,38,-24,1010,-168,14,-413
5/31/2017 9:50,32,-19,1023,-162,12,-415
5/31/2017 9:55,36,-26,1021,-164,11,-416
5/31/2017 10:00,35,-17,1034,-148,13,-417
5/31/2017 10:05,29,-17,1026,-146,10,-418
5/31/2017 10:10,32,-11,1037,-133,15,-421
5/31/2017 10:15,15,-37,1008,-128,10,-423
5/31/2017 10:20,35,2,1018,-124,18,-419
5/31/2017 10:25,24,-7,1038,-121,20,-419
5/31/2017 10:30,26,-10,1046,-114,22,-421
5/31/2017 10:35,37,-26,1035,-120,14,-418
5/31/2017 10:40,30,-11,1032,-107,20,-415
5/31/2017 10:45,31,4,1044,-96,17,-420
5/31/2017 10:50,23,2,1056,-93,19,-418
