datetime,xa_raw,ya_raw,za_raw,xm_raw,ym_raw,zm_raw
5/31/2017 5:55,221,59,1016,73,-221,-490
5/31/2017 6:00,90,333,981,116,-367,-442
5/31/2017 6:05,47,518,904,135,-454,-391
5/31/2017 6:10,35,682,795,142,-535,-333
5/31/2017 6:15,24,776,694,145,-573,-294
5/31/2017 6:20,21,784,692,147,-565,-298
5/31/2017 6:25,18,756,730,151,-537,-324
5/31/2017 6:30,-8,671,801,167,-489,-349
5/31/2017 6:35,-17,578,874,174,-442,-380
5/31/2017 6:40,-15,461,934,173,-375,-403
5/31/2017 6:45,-71,308,1007,201,-314,-400
5/31/2017 6:50,-105,214,1012,217,-266,-387
5/31/2017 6:55,-117,159,1008,214,-230,-385
5/31/2017 7:00,-97,48,1045,200,-160,-401
5/31/2017 7:05,-68,-27,1040,194,-123,-412
5/31/2017 7:10,-54,-73,1034,196,-103,-423
5/31/2017 7:15,-49,-137,1017,188,-77,-437
5/31/2017 7:20,-41,-211,1016,189,-38,-443
5/31/2017 7:25,-45,-269,995,190,10,-445
5/31/2017 7:30,-33,-337,971,178,85,-430
5/31/2017 7:35,-11,-432,949,164,145,-412
5/31/2017 7:40,27,-490,912,132,195,-401
5/31/2017 7:45,63,-538,877,109,228,-389
5/31/2017 7:50,92,-571,838,95,265,-369
5/31/2017 7:55,106,-607,809,81,288,-355
5/31/2017 8:00,131,-639,792,69,309,-339
5/31/2017 8:05,149,-641,774,60,311,-337
5/31/2017 8:10,126,-613,799,77,293,-352
5/31/2017 8:15,59,-557,848,129,239,-383
5/31/2017 8:20,-1,-475,895,167,174,-404
5/31/2017 8:25,-58,-419,938,194,122,-418
5/31/2017 8:30,-94,-365,960,218,55,-421
5/31/2017 8:35,-104,-284,982,216,-4,-427
5/31/2017 8:40,-84,-223,1013,220,-53,-428
5/31/2017 8:45,-113,-168,1019,235,-97,-406
5/31/2017 8:50,-160,-89,1024,260,-187,-326
5/31/2017 8:55,-156,-11,1017,252,-209,-260
5/31/2017 9:00,-174,87,1019,236,-154,-184
5/31/2017 9:05,-178,166,1021,233,-82,-206
5/31/2017 9:10,-193,269,998,249,-69,-304
5/31/2017 9:15,-201,324,975,252,-117,-375
5/31/2017 9:20,-205,380,958,265,-167,-418
5/31/2017 9:25,-233,460,904,293,-230,-430
5/31/2017 9:30,-231,528,861,299,-301,-431
5/31/2017 9:35,-235,567,843,309,-338,-421
5/31/2017 9:40,-250,632,798,326,-384,-407
5/31/2017 9:45,-254,658,765,333,-403,-396
5/31/2017 9:50,-283,674,739,342,-418,-385
5/31/2017 9:55,-318,706,709,361,-437,-369
5/31/2017 10:00,-326,697,704,370,-426,-367
5/31/2017 10:05,-326,675,729,368,-394,-385
5/31/2017 10:10,-331,631,766,357,-350,-410
5/31/2017 10:15,-289,561,824,322,-279,-437
5/31/2017 10:20,-226,445,909,277,-58,-365
5/31/2017 10:25,-192,262,983,387,-106,-34
5/31/2017 10:30,-170,86,1021,377,-411,-157
5/31/2017 10:35,-196,12,1022,308,-456,-226
5/31/2017 10:40,-237,-15,1014,258,-433,-232
5/31/2017 10:45,-220,-21,1014,239,-436,-219
5/31/2017 10:50,-186,-7,1032,176,-461,-183
5/31/2017 10:55,239,166,1000,88,-122,-525
5/31/2017 11:00,-56,41,1053,246,-284,-509
5/31/2017 11:05,9,10,1001,149,-157,-477
5/31/2017 11:10,26,4,1053,120,-148,-475
5/31/2017 11:15,69,9,1048,103,-101,-485
5/31/2017 11:20,141,4,1033,66,-129,-495
5/31/2017 11:25,205,-6,1026,29,-126,-497
5/31/2017 11:30,275,0,1018,-13,-131,-502
5/31/2017 11:35,360,-12,972,-63,-121,-507
5/31/2017 11:40,412,-8,951,-89,-109,-508
5/31/2017 11:45,451,-31,929,-123,-108,-506
5/31/2017 11:50,506,-55,903,-155,-110,-504
5/31/2017 11:55,549,-64,864,-187,-107,-500
5/31/2017 12:00,595,-32,848,-220,-102,-494
5/31/2017 12:05,660,-38,814,-261,-103,-483
5/31/2017 12:10,699,-34,771,-294,-97,-477
5/31/2017 12:15,741,-21,729,-334,-90,-464
5/31/2017 12:20,789,-41,651,-382,-82,-436
5/31/2017 12:25,837,-36,578,-429,-74,-408
5/31/2017 12:30,884,-23,511,-470,-63,-380
5/31/2017 12:35,911,-21,467,-494,-64,-357
5/31/2017 12:40,931,-8,421,-520,-67,-338
5/31/2017 12:45,952,17,374,-545,-78,-312
5/31/2017 12:50,949,15,378,-538,-88,-321
5/31/2017 12:55,918,14,454,-500,-89,-356
5/31/2017 13:00,866,-5,537,-449,-90,-401
5/31/2017 13:05,819,2,595,-408,-89,-424
5/31/2017 13:10,792,11,666,-368,-99,-444
5/31/2017 13:15,765,5,701,-332,-104,-460
5/31/2017 13:20,695,-18,761,-274,-93,-483
5/31/2017 13:25,608,-32,822,-214,-90,-493
5/31/2017 13:30,525,-17,904,-144,-126,-503
5/31/2017 13:35,425,-21,951,-90,-143,-504
5/31/2017 13:40,332,-5,984,-47,-143,-507
5/31/2017 13:45,230,4,1019,8,-139,-511
5/31/2017 13:50,115,-2,1037,82,-123,-503
5/31/2017 13:55,-116,-120,1063,192,-134,-467
5/31/2017 14:00,-265,-45,992,290,-140,-407
5/31/2017 14:05,-416,-34,951,362,-138,-348
5/31/2017 14:10,-550,-19,854,410,-134,-293
5/31/2017 14:15,-701,-50,756,449,-121,-232
5/31/2017 14:20,-787,-89,660,473,-76,-168
5/31/2017 14:25,-857,-128,551,490,-63,-113
5/31/2017 14:30,-904,-132,467,502,-62,-67
5/31/2017 14:35,-950,-115,371,511,-78,-12
