xa_raw,ya_raw,za_raw,Tilt,xm_raw,ym_raw,zm_raw,H_vignette,H_pololu
-208,-16048,-3584,-77.42,92,928,-407,164.53,191
-240,-16128,-3632,-77.32,93,931,-406,164.38,191.38
-304,-16064,-3552,-77.54,88,929,-404,165.16,191.75
-224,-16128,-3632,-77.32,132,821,-388,155.81,195.79
736,-19488,-7616,-68.67,96,789,-508,163.2,183.48
784,3648,16016,13.12,89,-153,-967,-119.37,115.21
-992,1760,16624,6.93,-51,-28,-941,57.49,236.59
-896,1072,16528,4.83,-41,21,-933,-54.22,228.46
-1152,1008,16240,5.39,-52,-8,-937,17.48,247.25
864,2720,15648,10.34,-59,-47,-942,77.01,183.47
1440,2016,15792,8.92,-30,-39,-946,104.84,145.15
2560,2480,15728,12.77,-1,-77,-950,178.51,114.2
3120,1200,15904,11.87,-1,-48,-952,177.61,96.61
3088,-432,15792,11.17,20,-39,-949,-125.69,72.43
3312,-528,15856,11.94,52,-81,-953,-114.52,65.69
3200,-2064,15648,13.68,52,-90,-952,-119.87,49.36
2768,-848,15696,10.45,58,-145,-955,-136.25,48.94
2816,-528,15904,10.21,19,-210,-949,-169.6,37.47
2912,-176,15856,10.43,-14,-255,-941,173.66,30.51
2896,-336,15968,10.35,-76,-278,-932,149.06,17.12
1792,-992,16176,7.22,-59,-241,-939,152.25,8.55
720,-1696,15808,6.65,-84,-225,-937,138.72,352.74
208,-2608,16000,9.29,-96,-200,-938,128.35,346.48
-304,-3920,15792,13.98,-98,-119,-942,100.79,341.24
-1216,-2768,15840,10.81,-90,-138,-942,113.52,331.33
-1872,-1952,15904,9.65,-97,-147,-941,112.87,321.31
-2144,-1312,15952,8.96,-107,-140,-939,104.89,312.79
-2192,-1344,15904,9.18,-105,-96,-937,84.62,306.54
-2416,-704,15808,9.05,-110,-86,-938,75.79,296.7
-1632,-80,16096,5.8,-110,-53,-935,51.28,285.77
-1424,-624,15888,5.59,-105,-21,-931,22.55,286.85
-1328,560,16288,5.06,-90,-22,-932,27.41,266.69
80,1120,16176,3.97,-94,-16,-931,19.27,241.58
-48,2048,16096,7.25,-52,-27,-939,54.84,210.86
1024,1200,16128,5.59,-57,9,-933,-17.93,178.36
2112,1888,15936,10.08,-27,-25,-943,85.58,131.07
2016,2272,15664,10.98,42,-102,-954,-135.16,101.42
3328,2992,15248,16.36,24,-203,-949,-166.44,83.49
4288,4224,15248,21.54,3,-300,-932,-178.84,77
4336,4192,14816,22.15,-6,-339,-919,177.94,69.26
3040,720,16000,11.05,16,-255,-944,-172.75,41.9
1696,592,15936,6.43,65,-247,-942,-150.24,37.71
2256,1216,16112,9.04,61,-272,-937,-154.44,43.2
2336,1536,16064,9.87,54,-264,-943,-156.65,47.12
1840,1184,16080,7.75,61,-267,-939,-153.99,40.1
1136,-768,16016,4.89,59,-222,-948,-150.01,25.27
2224,-2224,15968,11.14,3,-160,-953,-177.84,25.07
624,-2448,15952,9,-6,-206,-948,176.64,5.11
-752,-1664,16160,6.45,-25,-227,-942,167.34,347.94
-1600,-1456,16128,7.64,-48,-218,-944,154.99,334.89
-1520,176,16272,5.37,-99,-221,-932,131.33,318.73
-2144,2048,16000,10.5,-110,-235,-928,129.34,297.17
-1504,-528,16000,5.69,-111,-194,-935,120.02,318.54
-480,-2464,15952,8.94,-60,-217,-940,148.87,346.14
6000,-1184,15200,21.92,-58,-135,-947,133.36,55.77
-16000,2464,-896,-86.84,702,-256,-444,-31.36,287.3
