xa_raw,ya_raw,za_raw,Xnorm,Ynorm,Znorm,Tilt,xm_raw,ym_raw,zm_raw,pitch,roll,MXcomp,MYcomp,Mzcomp,H_vignette,H_pololu
-3920,5472,13696,-0.2569,0.3586,0.8975,26.1748,252,-171,-918,0.2636,0.1777,0.0043,0,-1,-34.1818,183.2542
-4288,-2112,15856,-0.2589,-0.1275,0.9574,16.777,86,79,-922,0.0927,-0.0851,0.0003,0,-1,42.5707,283.5546
208,-224,16176,0.0129,-0.0138,0.9998,1.0827,-90,21,-930,-0.0964,-0.0225,0,0,-1,-13.1384,264.0689
-1408,1456,16352,-0.0855,0.0884,0.9924,7.0615,-59,-35,-943,-0.0624,0.037,0,0,-1,30.6773,251.1411
672,2704,15936,0.0415,0.1671,0.9851,9.9181,-60,-66,-946,-0.0632,0.0695,-0.0002,0,-1,47.7291,192.1486
-2448,2688,15968,-0.1495,0.1641,0.975,12.8276,-2,-75,-952,-0.0021,0.0786,0,0,-1,88.6044,241.1926
-1200,1920,16240,-0.0732,0.1171,0.9904,7.9375,-72,-72,-943,-0.076,0.076,-0.0002,0,-1,45.0039,254.9494
-1936,720,16096,-0.1193,0.0444,0.9919,7.3132,-78,-55,-942,-0.0825,0.0581,-0.0001,0,-1,35.1933,274.1748
-1904,480,16208,-0.1166,0.0294,0.9927,6.9081,-98,-83,-940,-0.1035,0.0876,-0.0004,0,-1,40.2658,285.1
-1792,592,16192,-0.1099,0.0363,0.9933,6.6486,-101,-106,-941,-0.1063,0.1115,-0.0007,0,-1,46.3863,289.541
-992,-368,16144,-0.0613,-0.0227,0.9979,3.75,-134,-97,-933,-0.1419,0.1025,-0.0008,0,-1,35.904,301.7054
-160,-688,16048,-0.01,-0.0428,0.999,2.5205,-166,-131,-924,-0.176,0.1386,-0.0017,0,-1,38.2865,314.2006
-1056,-1136,15968,-0.0658,-0.0708,0.9953,5.5483,-122,-157,-936,-0.1278,0.1648,-0.0017,0,-1,52.1591,320.4452
-1456,-2048,16160,-0.089,-0.1252,0.9881,8.8391,-80,-154,-944,-0.0834,0.1611,-0.0011,0,-1,62.5561,328.63
-2128,-3440,15968,-0.1292,-0.2088,0.9694,14.2161,-7,-142,-952,-0.0073,0.1481,-0.0001,0,-1,87.1778,338.4345
-3392,-3152,15600,-0.2084,-0.1937,0.9587,16.5332,70,-159,-949,0.0726,0.1656,0.001,0,-1,-66.2436,338.515
-5904,-1440,15296,-0.3587,-0.0875,0.9293,21.6694,180,-246,-925,0.1859,0.2554,0.0061,0,-1,-53.8524,333.1483
-3856,-1984,15504,-0.2395,-0.1232,0.963,15.6275,222,-203,-923,0.2307,0.2107,0.0052,0,-1,-42.4728,358.6803
-4224,-2224,15680,-0.2577,-0.1357,0.9566,16.9339,244,-169,-917,0.2559,0.1763,0.0041,0,-1,-34.728,359.4343
-2448,-2352,15984,-0.1498,-0.1439,0.9782,11.9916,223,-125,-929,0.2336,0.1301,0.002,0,-1,-29.2808,17.0153
-1264,-2960,15840,-0.0782,-0.1831,0.98,11.4866,191,-73,-934,0.2011,0.0764,0.0006,0,-1,-20.919,25.351
304,-3072,15936,0.0187,-0.1893,0.9817,10.9639,162,-17,-935,0.1715,0.0179,0,0,-1,-5.9944,42.9687
1152,-3056,15600,0.0723,-0.1917,0.9788,11.8252,103,-2,-939,0.1093,0.0021,0,0,-1,-1.0597,43.6668
2864,-1280,15744,0.1784,-0.0797,0.9807,11.2695,51,-1,-942,0.0541,0.0011,0,0,-1,-1.1233,71.2728
3104,-112,15968,0.1908,-0.0069,0.9816,11.0083,-11,13,-936,-0.0118,-0.0139,0,0,-1,-49.8578,92.2726
3728,-288,15536,0.2333,-0.018,0.9722,13.5332,-133,59,-905,-0.1456,-0.0644,-0.0003,0,-1,-23.9253,117.4822
4976,576,15344,0.3083,0.0357,0.9506,18.0812,-243,13,-879,-0.2697,-0.0143,0,0,-1,-3.0642,138.6798
5152,2928,14880,0.3217,0.1828,0.929,21.7163,-347,-151,-841,-0.3858,0.1645,-0.0055,0,-1,23.543,251.5647
3936,2656,15376,0.2446,0.165,0.9555,17.1626,-307,-130,-863,-0.3382,0.141,-0.0035,0,-1,22.9652,255.008
2672,1616,15792,0.166,0.1004,0.981,11.186,-222,-53,-901,-0.2412,0.0571,-0.0004,0,-1,13.429,239.6418
2576,-128,15920,0.1597,-0.0079,0.9871,9.2031,-143,31,-910,-0.1558,-0.0336,-0.0001,0,-1,-12.2315,169.9651
1024,-1072,16080,0.0634,-0.0664,0.9958,5.2678,-30,78,-917,-0.0326,-0.0848,-0.0001,0,-1,-68.9661,120.8836
-2848,-1232,15936,-0.1754,-0.0759,0.9816,11.0195,173,36,-922,0.1853,-0.0384,0.0001,0,-1,11.7582,12.9228
-2896,2752,15456,-0.1814,0.1724,0.9682,14.4936,272,-207,-907,0.2844,0.2152,0.0068,0,-1,-37.3149,67.4832
-1616,3600,15840,-0.099,0.2205,0.9703,13.9898,205,-285,-912,0.2113,0.2959,0.0093,0,-1,-54.3538,56.6479
-784,1616,16288,-0.0478,0.0986,0.994,6.2933,155,-266,-928,0.1592,0.2755,0.0061,0,-1,-59.8202,32.5643
