AccX,AccY,AccZ,RawTilt,CompX,CompY,CompZ
491,173,881,30.59,200,323,-327
510,-873,6,89.67,-402,195,68
648,-785,-11,90,-307,0,31
660,-777,40,87.77,-189,341,-272
660,-777,40,87.77,-186,342,-271
661,-779,35,88.5,-185,341,-268
663,-777,39,87.83,-185,337,-266
663,-778,34,88.11,-187,340,-267
481,-905,80,85.56,-20,502,-24
479,-908,77,85.73,-23,500,-23
514,-813,106,83.74,-261,393,-123
359,-1015,101,84.67,-149,491,-226
518,-884,86,85.22,70,620,72
241,-1001,66,86.35,-91,586,588
-910,461,-96,90,30,-168,154
-829,535,-272,90,54,-126,179
767,609,23,88.67,52,-311,229
791,614,30,88.29,51,-309,232
481,869,148,81.56,181,-38,101
204,288,994,19.48,-336,-21,-223
24,-38,1062,2.36,167,368,-343
-84,170,1051,10.15,-65,-298,-275
162,118,1050,10.74,210,232,-379
33,-32,1066,2.4,312,172,-343
14,-24,1067,1.44,318,169,-340
6,-18,1068,0.96,321,167,-338
8,-17,1069,0.96,324,163,-337
7,-16,1068,0.9,324,165,-338
12,-17,1068,1.6,324,168,-339
12,-19,1068,1.17,320,167,-338
10,-15,1065,0.96,324,162,-337
9,-14,1068,0.85,322,165,-339
11,-15,1070,0.96,323,163,-336
8,-12,1070,0.74,321,163,-338
8,-13,1069,0.8,321,164,-337
10,-14,1070,0.9,322,164,-339
8,-14,1069,0.85,322,163,-337
8,-14,1068,0.85,322,163,-336
6,-13,1069,0.74,322,164,-338
12,-14,1071,0.96,321,165,-340
15,-24,1067,1.49,321,164,-339
36,-45,1065,3.5,313,177,-341
79,-126,1060,7.91,293,237,-338
101,-152,1059,9.71,276,252,-339
215,-229,1031,16.91,231,303,-342
175,-225,1034,15.37,236,286,-347
350,-312,962,25.96,159,354,-340
453,-295,924,30.34,117,358,-346
565,-336,831,38.33,50,397,-327
544,-297,862,35.7,64,377,-342
609,-299,808,39.98,28,386,-336
557,-334,836,37.83,54,402,-330
594,-283,828,38.43,36,372,-349
561,-294,851,36.66,58,374,-342
598,-286,825,38.74,34,371,-347
605,-299,812,39.67,30,385,-338
604,-292,817,39.35,30,386,-340
586,-282,835,37.89,44,364,-352
566,-280,847,36.7,54,366,-350
601,-289,819,39.11,33,379,-342
560,-267,861,35.78,59,357,-353
496,-276,902,32.19,91,354,-353
575,-282,842,37.24,46,376,-346
562,-285,848,36.63,55,369,-350
433,-306,924,29.87,126,364,-342
370,-228,980,23.89,160,312,-366
438,-266,937,28.69,124,338,-356
305,-286,986,22.97,188,337,-343
242,-160,1037,15.59,222,273,-358
226,-145,1039,14.43,226,257,-364
167,-99,1048,10.45,250,230,-361
135,-116,1054,9.49,272,236,-347
135,-40,1057,7.51,273,193,-361
12,-14,1066,0.96,323,166,-337
8,-15,1066,0.91,323,164,-339
8,-16,1067,0.9,320,164,-338
9,-18,1064,1.7,321,168,-337
11,-17,1067,1.7,322,164,-338
7,-13,1068,0.74,322,168,-339
11,-14,1069,0.9,327,167,-338
9,-15,1068,0.9,323,168,-337
12,-15,1069,1.1,324,166,-339
9,-15,1070,0.9,320,167,-334
7,-17,1069,0.96,322,167,-339
7,-14,1068,0.8,322,165,-337
7,-12,1070,0.69,321,166,-338
8,-12,1064,0.75,324,164,-338
6,-13,1068,0.74,323,166,-340
8,-11,1065,0.69,322,165,-337
7,-10,1070,0.64,322,165,-338
8,-14,1064,0.85,323,167,-338
7,-12,1068,0.69,323,167,-338
10,-15,1062,0.96,323,167,-338
21,-35,1066,2.14,317,173,-341
135,-69,1055,8.11,274,212,-356
102,-216,1049,12.74,274,276,-332
265,-325,987,23.1,208,359,-324
185,-268,1021,17.63,237,311,-334
271,-268,1001,20.83,202,335,-337
445,-310,920,30.54,118,370,-340
471,-336,896,32.86,104,383,-333
514,-325,867,35.6,78,391,-334
564,-338,826,38.49,52,402,-328
532,-304,863,35.36,72,376,-341
469,-301,904,31.69,105,356,-348
530,-320,863,35.67,68,384,-337
507,-331,875,34.68,82,376,-340
500,-287,893,32.86,91,358,-354
474,-322,896,32.64,101,373,-343
477,-253,922,30.35,106,334,-362
497,-279,901,32.31,92,353,-353
443,-280,931,29.41,122,353,-352
361,-274,967,25.12,162,340,-350
384,-276,953,26.37,151,341,-349
339,-250,985,23.15,177,324,-351
262,-212,1018,18.29,205,297,-356
248,-194,1026,16.99,215,282,-358
158,-182,1046,12.94,254,274,-346
218,-152,1037,14.3,227,255,-366
133,-83,1058,8.35,271,219,-354
54,-21,1060,3.6,302,172,-351
29,-82,1063,4.6,315,198,-333
11,-20,1065,1.17,321,169,-341
6,-12,1066,0.69,327,163,-340
8,-13,1065,0.8,326,166,-339
