"","datetime","xa_raw","ya_raw","za_raw","xa_cal","ya_cal","za_cal","xm_raw","ym_raw","zm_raw","xm_cal","ym_cal","zm_cal","a_modulus","xa_norm","ya_norm","za_norm","Gproj_XY","tiltAngle","pitchRadians","rollRadians","azimuthDegrees","m_modulus","xm_norm","ym_norm","zm_norm","xm_comp","ym_comp","zm_comp","headingDegrees","azimuthDegrees_adjusted","Pertsev"
"1",2016-03-26 18:45:00,-89,-212,1017,-106.8079545,-196.5701753,1013.974513,219,179,-345,27795.04253,12840.88006,-25068.44019,1038.4,-0.1029,-0.1893,0.9765,0.2154,12.4,0.103,-0.1905,241.5,39571.2,0.7024,0.3245,-0.6335,0.6335,0.1857,-0.7511,16.3,257.8,NA
"2",2016-03-26 19:00:00,-94,-128,1027,-111.7574115,-116.2679043,1023.956321,214,160,-359,27360.5935,11308.16534,-26335.12138,1036.6,-0.1078,-0.1122,0.9878,0.1556,9,0.108,-0.1124,226.1,39623.4,0.6905,0.2854,-0.6646,0.6148,0.2011,-0.7626,18.1,244.2,NA
"3",2016-03-26 19:15:00,-127,-128,1025,-143.8873325,-116.2393893,1021.988681,218,177,-345,27711.97153,12679.02987,-25069.03646,1038.6,-0.1385,-0.1119,0.984,0.1781,10.3,0.139,-0.1122,218.9,39461,0.7023,0.3213,-0.6353,0.6075,0.238,-0.7578,21.4,240.3,NA
"4",2016-03-26 19:30:00,-139,-134,1024,-155.5653405,-121.9642143,1020.998012,220,179,-341,27880.19857,12841.1761,-24706.33757,1040,-0.1496,-0.1173,0.9818,0.1901,11,0.1502,-0.1175,218.1,39403.1,0.7076,0.3259,-0.627,0.6058,0.2385,-0.759,21.5,239.6,NA
"5",2016-03-26 19:45:00,-180,-176,1014,-195.4426355,-162.0796693,1011.070614,230,203,-322,28730.76573,14779.80792,-22984.54641,1042.5,-0.1875,-0.1555,0.9699,0.2436,14.1,0.1886,-0.1561,219.7,39650.8,0.7246,0.3727,-0.5797,0.6031,0.2586,-0.7546,23.2,242.9,NA
"6",2016-03-26 20:00:00,-171,-152,1015,-186.7020445,-139.1471833,1012.077147,231,183,-327,28793.16724,13169.96764,-23433.42538,1038.5,-0.1798,-0.134,0.9745,0.2242,13,0.1808,-0.1344,216.7,39390.6,0.731,0.3343,-0.5949,0.6121,0.2353,-0.755,21,237.7,NA
"7",2016-03-26 20:15:00,-173,-144,1016,-188.6571165,-131.4979183,1013.075674,236,174,-329,29192.73426,12448.86652,-23609.23173,1038.8,-0.1816,-0.1266,0.9752,0.2214,12.8,0.1826,-0.1269,214.9,39554.8,0.738,0.3147,-0.5969,0.6174,0.2209,-0.755,19.7,234.6,NA
"8",2016-03-26 20:30:00,-182,-179,1012,-197.3863265,-164.9469443,1009.086727,229,198,-321,28646.37281,14376.17807,-22894.52041,1041.4,-0.1895,-0.1584,0.969,0.247,14.3,0.1907,-0.1591,219.9,39388.4,0.7273,0.365,-0.5812,0.6039,0.2481,-0.7574,22.3,242.2,NA
"9",2016-03-26 20:45:00,-223,-232,994,-237.2500105,-215.5829743,991.2210198,232,236,-296,28941.42598,17436.77751,-20637.6901,1041.8,-0.2277,-0.2069,0.9515,0.3077,17.9,0.2298,-0.2084,222.3,39592.4,0.731,0.4404,-0.5213,0.5931,0.2914,-0.7506,26.2,248.4,NA
"10",2016-03-26 21:00:00,-172,-170,1016,-187.6597175,-156.3503853,1013.054246,229,192,-326,28637.49968,13893.39088,-23345.56802,1042.1,-0.1801,-0.15,0.9721,0.2344,13.6,0.1811,-0.1506,219.8,39473.4,0.7255,0.352,-0.5914,0.6071,0.2411,-0.7571,21.7,241.5,NA
"11",2016-03-26 21:15:00,-253,-258,980,-266.4298585,-240.4184363,977.3369118,246,228,-280,30092.11653,16800.88279,-19180.56528,1041.1,-0.2559,-0.2309,0.9387,0.3447,20.2,0.2588,-0.233,222.1,39442.4,0.7629,0.426,-0.4863,0.6131,0.2608,-0.7457,23,245.1,NA
"12",2016-03-26 21:30:00,-158,-161,1019,-174.0380185,-147.7582853,1016.028802,226,185,-333,28381.32012,13328.05602,-23979.55071,1041.4,-0.1671,-0.1419,0.9757,0.2192,12.7,0.1679,-0.1424,220.3,39473.5,0.719,0.3376,-0.6075,0.6074,0.2322,-0.7597,20.9,241.3,NA
"13",2016-03-26 21:45:00,-197,-213,1004,-211.9566315,-197.4378913,1001.136547,236,206,-309,29234.12494,15024.46694,-21805.82748,1042.2,-0.2034,-0.1894,0.9606,0.2779,16.1,0.2048,-0.1906,223,39444.4,0.7411,0.3809,-0.5528,0.6132,0.2429,-0.7516,21.6,244.6,NA
"14",2016-03-26 22:00:00,-194,-178,1011,-209.0707255,-163.9809663,1008.101707,237,188,-321,29291.77171,13576.51171,-22887.19514,1042.5,-0.2005,-0.1573,0.967,0.2549,14.8,0.2019,-0.1579,218.1,39574.7,0.7402,0.3431,-0.5783,0.6091,0.2263,-0.7601,20.4,238.5,NA
"15",2016-03-26 22:15:00,-187,-211,1006,-202.2227395,-195.5337493,1003.116059,224,218,-312,28261.14507,15982.62804,-22087.50292,1041.8,-0.1941,-0.1877,0.9629,0.27,15.7,0.1953,-0.1888,224,39268.2,0.7197,0.407,-0.5625,0.5968,0.27,-0.7556,24.3,248.4,NA
"16",2016-03-26 22:30:00,-140,-172,1020,-156.5025235,-158.2880313,1017.003076,221,182,-336,27968.45634,13083.03121,-24254.20233,1041.1,-0.1503,-0.152,0.9769,0.2138,12.3,0.1509,-0.1526,225.3,39264.1,0.7123,0.3332,-0.6177,0.6114,0.2202,-0.7601,19.8,245.1,NA
"17",2016-03-26 22:45:00,-194,-183,1007,-209.0643765,-168.7633393,1004.132956,235,201,-317,29141.72294,14621.82985,-22528.74853,1039.5,-0.2011,-0.1624,0.966,0.2585,15,0.2025,-0.1631,218.9,39630.6,0.7353,0.369,-0.5685,0.606,0.2496,-0.7553,22.4,241.3,NA
"18",2016-03-26 23:00:00,-188,-171,1012,-203.2355965,-157.2948343,1009.095859,237,183,-320,29288.97525,13173.61913,-22796.37633,1041.3,-0.1952,-0.1511,0.9691,0.2468,14.3,0.1964,-0.1516,217.7,39383.5,0.7437,0.3345,-0.5788,0.6164,0.223,-0.7552,19.9,237.6,NA
"19",2016-03-26 23:15:00,-159,-218,1009,-174.9551785,-202.2476953,1006.071459,225,208,-322,28326.46982,15178.90383,-22989.00186,1041,-0.1681,-0.1943,0.9664,0.2569,14.9,0.1689,-0.1955,229.1,39513.1,0.7169,0.3841,-0.5818,0.6089,0.242,-0.7554,21.7,250.8,11.4133333333333
"20",2016-03-26 23:30:00,-172,-163,1016,-187.6661085,-149.6595823,1013.059895,227,194,-327,28474.89142,14053.13955,-23437.67765,1041.1,-0.1803,-0.1438,0.9731,0.2306,13.3,0.1812,-0.1442,218.6,39466.9,0.7215,0.3561,-0.5939,0.6026,0.2497,-0.758,22.5,241.1,11.2266666666667
"21",2016-03-26 23:45:00,-205,-136,1017,-219.8220185,-123.8212633,1014.087581,239,182,-324,29447.87129,13094.97845,-23156.00221,1045,-0.2104,-0.1185,0.9704,0.2414,14,0.2119,-0.1188,209.4,39684.5,0.7421,0.33,-0.5835,0.6027,0.2416,-0.7605,21.8,231.2,12.06
"22",2016-03-27 00:00:00,-190,-159,1015,-205.1952125,-145.8206393,1012.079972,234,190,-322,29047.567,13735.52311,-22980.09759,1042.9,-0.1968,-0.1398,0.9704,0.2414,14,0.198,-0.1403,215.4,39503.3,0.7353,0.3477,-0.5817,0.6065,0.2443,-0.7566,21.9,237.3,11.14
"23",2016-03-27 00:15:00,-178,-192,1010,-193.4789215,-177.3779873,1007.092094,234,193,-322,29049.77882,13977.19247,-22980.39241,1040.7,-0.1859,-0.1704,0.9677,0.2522,14.6,0.187,-0.1713,222.5,39589.8,0.7338,0.3531,-0.5805,0.6131,0.2274,-0.7566,20.4,242.9,11.56
"24",2016-03-27 00:30:00,-210,-168,1011,-224.6584315,-154.4080683,1008.116913,242,190,-317,29704.78812,13740.86976,-22522.1178,1044.3,-0.2151,-0.1479,0.9653,0.261,15.1,0.2168,-0.1484,214.5,39729.5,0.7477,0.3459,-0.5669,0.6082,0.2364,-0.7577,21.2,235.7,11.6866666666667
"25",2016-03-27 00:45:00,-139,-157,1018,-155.5416655,-143.9531233,1015.032377,226,175,-342,28365.93831,12523.48423,-24791.51502,1036.9,-0.15,-0.1388,0.9789,0.2044,11.8,0.1506,-0.1393,222.8,39699.9,0.7145,0.3155,-0.6245,0.6128,0.2118,-0.7614,19.1,241.9,11.02
"26",2016-03-27 01:00:00,-233,-145,1004,-247.0705115,-132.4086513,1001.207479,255,174,-311,30759.08506,12460.88919,-21968.2741,1039.7,-0.2376,-0.1274,0.963,0.2696,15.6,0.2399,-0.1277,208.2,39799.5,0.7729,0.3131,-0.552,0.6195,0.2189,-0.7538,19.5,227.6,11.68
