datetime,xa_raw,ya_raw,za_raw,xm_raw,ym_raw,zm_raw
5/31/2017 5:55,-192,-276,958,5,115,-469
5/31/2017 6:00,801,186,446,-522,-139,-376
5/31/2017 6:05,55,25,1025,63,-58,-531
5/31/2017 6:10,-1,-7,1054,50,-39,-519
5/31/2017 6:15,-17,-3,1056,40,-22,-519
5/31/2017 6:20,-34,-8,1047,46,-21,-518
5/31/2017 6:25,-49,0,1052,38,-22,-516
5/31/2017 6:30,-42,-4,1050,28,-16,-518
5/31/2017 6:35,-35,-11,1049,12,-7,-519
5/31/2017 6:40,-32,-27,1052,6,5,-517
5/31/2017 6:45,-35,-34,1063,2,13,-516
5/31/2017 6:50,-10,-22,1037,18,28,-516
5/31/2017 6:55,-40,-62,1052,35,15,-516
5/31/2017 7:00,-40,-88,1047,24,53,-508
5/31/2017 7:05,-37,-80,1051,11,56,-511
5/31/2017 7:10,-24,-50,1046,-12,62,-514
5/31/2017 7:15,-20,-60,1056,-21,70,-513
5/31/2017 7:20,-8,-47,1051,-39,80,-511
5/31/2017 7:25,-10,-65,1047,-55,89,-511
5/31/2017 7:30,-19,-122,1051,-70,110,-498
5/31/2017 7:35,27,-112,1046,-105,116,-496
5/31/2017 7:40,8,-88,1053,-98,113,-499
5/31/2017 7:45,-14,-100,1052,-89,113,-499
5/31/2017 7:50,-9,-104,1039,-101,111,-500
5/31/2017 7:55,-7,-114,1047,-117,116,-498
5/31/2017 8:00,-13,-91,1048,-121,107,-500
5/31/2017 8:05,-10,-83,1045,-130,105,-502
5/31/2017 8:10,-11,-88,1041,-149,103,-500
5/31/2017 8:15,-7,-88,1058,-166,94,-503
5/31/2017 8:20,-19,-40,1047,-157,74,-510
5/31/2017 8:25,-39,-32,1035,-163,63,-510
5/31/2017 8:30,-21,-43,1048,-185,51,-515
5/31/2017 8:35,-3,-45,1044,-204,41,-514
5/31/2017 8:40,12,-13,1043,-225,24,-511
5/31/2017 8:45,8,-50,1043,-245,28,-507
5/31/2017 8:50,4,-45,1051,-250,11,-505
5/31/2017 8:55,3,-41,1050,-256,7,-505
5/31/2017 9:00,6,-53,1057,-268,4,-502
5/31/2017 9:05,15,-66,1050,-281,3,-500
5/31/2017 9:10,40,-47,1034,-292,-1,-494
5/31/2017 9:15,25,-90,1045,-294,-11,-498
5/31/2017 9:20,17,-79,1051,-299,-28,-503
5/31/2017 9:25,36,-85,1052,-315,-37,-499
5/31/2017 9:30,66,-88,1046,-331,-43,-494
5/31/2017 9:35,62,-90,1044,-330,-52,-496
5/31/2017 9:40,62,-70,1046,-336,-69,-495
5/31/2017 9:45,65,-70,1046,-340,-83,-496
5/31/2017 9:50,70,-63,1048,-345,-97,-493
5/31/2017 9:55,69,-54,1045,-348,-112,-494
5/31/2017 10:00,70,-57,1053,-340,-131,-496
5/31/2017 10:05,64,-58,1050,-342,-139,-497
5/31/2017 10:10,68,-60,1043,-343,-156,-496
5/31/2017 10:15,75,-74,1049,-338,-163,-503
5/31/2017 10:20,70,-79,1046,-335,-176,-500
5/31/2017 10:25,75,-84,1047,-336,-177,-497
5/31/2017 10:30,115,-54,1055,-351,-206,-496
5/31/2017 10:35,101,-43,1053,-338,-212,-499
5/31/2017 10:40,99,-29,1057,-337,-223,-497
5/31/2017 10:45,91,-35,1046,-328,-234,-502
5/31/2017 10:50,104,-42,1048,-327,-246,-500
5/31/2017 10:55,83,-26,1039,-303,-278,-507
5/31/2017 11:00,84,10,1057,-303,-302,-501
5/31/2017 11:05,131,12,1049,-302,-329,-495
5/31/2017 11:10,133,34,1056,-285,-352,-494
5/31/2017 11:15,127,25,1064,-265,-361,-499
5/31/2017 11:20,133,42,1054,-251,-377,-497
5/31/2017 11:25,128,58,1056,-237,-395,-498
5/31/2017 11:30,129,83,1046,-222,-409,-497
5/31/2017 11:35,133,63,1050,-195,-404,-506
5/31/2017 11:40,133,47,1054,-183,-400,-508
